"row_id","v2elsnlfc","v2elsnmrfc","v2clrgstch","v2clrgwkch","emel","cscw"
0,0.875,0,0,1,0.875,1
1,0.125,1,0.889,0,0.875,0.889
2,0.875,0.111,0,1,0.764,1
3,0.125,0.667,1,0,0.542,1
4,0,0.889,1,0,0.889,1
5,0.375,0,0,0.6,0.375,0.6
6,0.25,0.222,0.333,0.1,0.028,0.233
7,0.25,0,0,0.5,0.25,0.5
8,0.125,0,0.111,0.3,0.125,0.189
9,0.125,0,0.111,0.3,0.125,0.189
10,1,0,0,0.9,1,0.9
11,0.875,0,0,0.9,0.875,0.9
12,0.375,0,0,0.6,0.375,0.6
13,0.875,0,0,0.8,0.875,0.8
14,0.5,0,0,0.9,0.5,0.9
15,0,0.222,0.333,0,0.222,0.333
16,0,0,0,0.1,0,0.1
