MPIO_CDPMP,municipio,depto,mean_div,mean_elec,mean_civlib,mean_dem,n_years,extreme_type
85015,Chameza,Casanare,0.13310799977459373,0.7078032574944918,0.574695257719898,0.64318990240134,17,elections-dominant
13160,Cantagallo,Bolívar,0.1299177296668568,0.6600124057490301,0.5300946760821733,0.5968302327195971,17,elections-dominant
68217,Coromoro,Santander,0.12263105196755422,0.5750384651090391,0.4524074131414849,0.5152041370302592,21,elections-dominant
13248,El Guamo,Bolívar,0.11936010415317912,0.5777676498213655,0.45840754566818637,0.5195696462066771,17,elections-dominant
15518,Pajarito,Boyacá,0.11807776914356631,0.6536717354883834,0.5355939663448172,0.5963596470413511,17,elections-dominant
68780,Suratá,Santander,0.117498759990662,0.6287427354626675,0.5112439754720054,0.57163730420251,21,elections-dominant
15690,Santa María,Boyacá,0.11556361175817452,0.7690123371982891,0.6534487254401146,0.7133278413283425,17,elections-dominant
68211,Contratación,Santander,0.11530752609730917,0.8146678329097217,0.6993603068124125,0.7592598630472845,21,elections-dominant
05543,Peque,Antioquia,0.11508748710825749,0.5870069690397769,0.4719194819315194,0.5309649179141012,21,elections-dominant
13600,Río Viejo (1)(3),Bolívar,0.1119613901909882,0.5337618610839637,0.4218004708929755,0.47910124958827943,16,elections-dominant
52210,Contadero,Nariño,-0.05055142496434412,0.4350899378726531,0.4856413628369972,0.4609628552052282,17,civlib-dominant
52317,Guachucal,Nariño,-0.04861541160436567,0.4041925146860714,0.4528079262904371,0.4290012843611205,17,civlib-dominant
52224,Cuaspud,Nariño,-0.04843302858166816,0.34999735997709946,0.39843038855876767,0.37453838208019763,16,civlib-dominant
52022,Aldana,Nariño,-0.04583582301292534,0.40500989191710807,0.4508457149300334,0.42843838884669266,17,civlib-dominant
19548,Piendamó,Cauca,-0.042853245315432324,0.5492724807888639,0.5921257261042963,0.5716882141840662,17,civlib-dominant
52585,Pupiales,Nariño,-0.039399468664504896,0.42936894400213915,0.46876841266664404,0.44967468852614373,17,civlib-dominant
52352,Iles,Nariño,-0.039393806443876335,0.4336287328714204,0.47302253931529675,0.453945573049499,17,civlib-dominant
23670,San Andrés Sotavento (1) (3),Córdoba,-0.03672580577360404,0.3822065736211899,0.418932379394794,0.4010280414928231,16,civlib-dominant
52838,Túquerres,Nariño,-0.03518690410383674,0.48265560816164255,0.5178425122654793,0.5010394931986357,17,civlib-dominant
52720,Sapuyes,Nariño,-0.035063514309050046,0.4192892379746845,0.4543527522837345,0.4374047727168636,17,civlib-dominant
